DN425,Health and Performance Science ,510,505,,
DN430,Sport and Exercise Management ,440,,,
DN440,Biomedical Health and Life Sciences ,565,,,
DN450,General Nursing ,415,,,
DN451,and General Nursing ,495,,,
DN452,Midwifery ,,,,
DN453,Psychiatric Nursing ,430,415,,
DN460,Mature Applicants General Nursing ,,,,
DN461,Mature Applicants and General Nursing ,,,,
DN462,Mature Applicants Midwifery ,,,,
DN463,Mature Applicants Psychiatric Nursing ,,,,
DN500,BA time ,335,,,
DN501,BA time ,335,,,
DN510,Economics ,485,,,
DN511,English ,460,,,
DN512,English with Drama ,320,315,,
DN513,English with Film ,425,,,
DN514,Planning Geography and Environment ,375,,,
DN515,History ,435,410,,
DN517,Music ,,,,
DN519,Psychology ,515,510,,
DN541,International Languages ,460,,,
DN550,Social Science ,420,,,
DN600,Law ,520,,,
DN610,Business and Law ,530,,,
DN615,BCL ,550,,,
DN650,Commerce ,500,,,
DN660,Commerce International ,515,,,
DN670,Quantitative Business ,590,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
DK810,Accounting and Finance ,300,300,,
DK812,Marketing ,305,305,,
DK816,Business Studies ,300,300,,
DK817,Business ,1and ,2at Monaghan ,310,300
DK820,Computing in Games Development ,300,300,,
DK821,Computing ,300,300,,
DK830,Building Surveying ,300,300,,
DK860,Applied Music ,,,,
DK861,Digital Humanities ,300,300,,
DK862,Social Care ,320,310,,
DK863,Communications in Creative Media ,300,,,
DK864,Film and TV Production ,300,300,,
DK865,Production of Music and Audio ,300,,,
DK870,General Nursing ,,,,
DK871,Mature Applicants General Nursing ,,,,
DK872,Intellectual Disability Nursing ,380,,,
DK873,Mature Applicants Intellectual Disability Nursing ,,,,
DK874,Psychiatric Nursing ,395,,,
DK875,Mature Applicants Psychiatric Nursing ,,,,
DK876,Early Childhood Studies ,330,,,
DK877,Midwifery ,410,,,
DK878,Mature Applicants Midwifery ,,,,
DK880,Health and Physical Activity ,305,,,
DK881,Environmental Bioscience ,317,310,,
DK882,Agriculture ,380,360,,
DK890,Multimedia Web Development ,300,300,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
GA181,Accounting ,300,,,
GA182,Business ,290,,,
GA183,Business Information Systems ,310,,,
GA184,Business in Marketing and Sales ,305,,,
GA185,Business in Finance and Economics ,305,290,,
GA186,Business with Entrepreneurship ,305,,,
GA281,Film and Documentary ,350,,,
GA282,Heritage Studies ,245,245,,
GA283,Contemporary Art ,315,240,,
GA380,Hotel and Catering Management ,230,,,
GA480,Construction Management ,250,,,
GA482,Construction Economics and Quantity Surveying ,210,,,
GA483,Architectural Technology ,250,,,
GA484,Civil Engineering ,245,,,
GA680,Mechanical Engineering ,300,,,
GA681,Energy Engineering ,260,,,
GA780,Applied Freshwater and Marine Biology ,320,,,
GA781,Applied Biology and Biopharmaceutical Science ,320,,,
GA782,Chemical and Pharmaceutical Science ,335,,,
GA783,Physics and Instrumentation ,315,,,
GA784,Science ,325,,,
GA785,Medical Science ,435,,,
GA786,Forensic Science and Analysis ,325,,,
GA787,Computing in Software Development ,320,,,
GA880,General Nursing Mayo Campus ,,,,
GA881,Mature Applicants General Nursing Mayo Campus ,,,,
GA882,Psychiatric Nursing Mayo Campus ,375,,,
GA883,Mature Applicants Psychiatric Nursing Mayo Campu ,,,,
GA884,Digital Media and Society Mayo Campus ,240,220,,
GA885,Outdoor Education Mayo Campus ,235,,,
GA886,Business Mayo Campus ,240,240,,
GA980,Education Graphics and Let ,385,380,,
GA981,Furniture Design and Manufacture Letterfrack Cam ,275,,,
GA982,Furniture and Wood Technology Letterfrack Campus ,275,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
GY101,Arts Joint Honours Degree ,300,,,
GY103,Arts and Social ,345,,,
GY104,Arts ,515,,,
GY105,Arts ,305,,,
GY106,Na ,310,,,
GY107,Na agus an ,485,,,
GY109,Arts and ,410,,,
GY110,Arts with Studies ,420,,,
GY111,Arts with Creative Writing ,425,,,
GY112,Arts with Film Studies ,400,,,
GY113,Arts with Human Rights ,380,,,
GY114,Arts with Irish Studies ,365,,,
GY115,Arts with Performing Arts Studies ,345,,,
GY117,Arts with Latin American Studies ,365,,,
GY118,Arts Theatre and Performance ,435,,,
GY119,Arts with Journalism ,420,,,
GY120,Arts and Family ,305,,,
GY201,Commerce ,390,,,
GY202,Commerce with French ,500,,,
GY203,Commerce with German ,465,,,
GY204,Commerce with Spanish ,475,,,
GY206,Business Information Systems ,430,,,
GY207,Commerce ,460,,,
GY208,Commerce ,430,,,
GY250,Corporate Law ,390,,,
GY251,Civil Law ,440,,,
GY301,Science ,410,400,,
GY303,Biomedical Science ,530,525,,
GY304,Biotechnology ,475,,,
GY308,Environmental Science ,420,,,
GY309,Financial Mathematics and Economics ,505,,,
GY310,Marine Science ,400,,,
GY313,Health and Safety Systems ,315,,,
GY314,Earth and Ocean Sciences ,410,,,
GY318,Biopharmaceutical Chemistry ,500,,,
GY319,Mathematical Science ,470,,,
GY320,Physics in Applied The ,425,,,
GY350,Computer Science and Information Technology ,440,425,,
GY401,Engineering ,450,440,,
GY402,Civil Engineering ,450,,,
GY405,Mechanical Engineering ,450,,,
GY406,Electronic and Computer Engineering ,455,,,
GY408,Biomedical Engineering ,485,,,
